metric,value
bag_name,flight_20260311_152734
detection_rate_pct,52.2
dropout_max_sec,1.078
dropout_mean_sec,0.236
dropout_total_sec,12.29
flight_duration_sec,39.3
fps_mean,226.1
fps_min,13.7
latency_max_ms,101.2
latency_mean_ms,60.8
latency_p50_ms,60.6
latency_p95_ms,64.6
latency_p99_ms,66.8
mode_decay_pct,3.3
mode_detection_pct,52.2
mode_hold_pct,31.2
mode_kalman_pct,0.0
mode_pinn_pct,13.0
mode_zero_pct,0.3
num_dropouts,52
yaw_cmd_max_deg_s,57.3
yaw_cmd_mean_deg_s,21.6
yaw_cmd_std_deg_s,22.12
